Task ID,优先级,工作流,任务,状态,依赖,负责人角色,估算人日,交付物,Definition of Done,风险/外部依赖
P0-01,P0,领域骨架,固化新媒体能力包与插件边界,已完成,—,架构/后端,1,插件 manifest、能力开关、Skills 映射,能力停用后不注入工具/Skill；不产生外部副作用,低
P0-02,P0,适配器,建立 PlatformAdapter 契约与 Registry,已完成,P0-01,后端,2,Adapter 接口、能力矩阵、错误码、Registry,重复注册和未知平台可诊断；双平台本地 Adapter 契约测试通过,低
P0-03,P0,账号授权,建立账号授权状态机,已完成,P0-02,后端,3,账号模型、授权开始/完成/校验/断开服务,不支持授权时不得进入 connected；成功/失败/断开均可审计,低
P0-04,P0,安全,隔离并保护账号授权材料,已完成,P0-03,安全/后端,2,account-secrets.enc、RuntimeSecretCodec 接入,SQLite、IPC、日志、UI 均不出现 Token/Secret；降级保护可见,中：safeStorage 可用性
P0-05,P0,工作台,账号管理 UI 与无密钥 IPC,已完成,"P0-03,P0-04",前端/后端,2,账号面板、IPC/Preload API,Renderer 不能提交密钥；可创建占位、查看能力、审计和断开,低
P0-06,P0,数据,将通用 nm_record 演进为版本化领域 Schema,已完成,P0-03,后端/数据,3,schema v2、accounts/audit/jobs 等表或受约束记录模型,迁移可回滚；旧 new-media.db 可读取；索引覆盖主要查询,中：兼容迁移
P0-07,P0,输入安全,补齐所有新媒体 IPC 运行时校验,已完成,P0-05,后端/安全,2,统一 validator 与稳定错误 DTO,畸形平台、ID、时间、数组及超长文本均在进入服务前拒绝,中
P0-08,P0,审计,统一账号、发布和互动审计事件规范,已完成,"P0-03,P0-06",后端/安全,2,审计 schema、事件字典、脱敏策略,每次状态迁移原子写审计；审计无正文密钥和敏感输入,低
P0-09,P0,测试,增加迁移、Secret Store、IPC 与 package smoke,已完成,"P0-04,P0-06,P0-07",QA/后端,4,自动化测试和实际打包 smoke,测试使用 PROMA_TEST_CONFIG_DIR；资源、技能、DB 重开和停用均通过,中
P0-10,P0,治理,形成威胁模型与平台接入禁用清单,已完成,P0-02,安全/产品,1,.context 连接器决策与威胁清单,明确禁止 Cookie、密码、私有 API、验证码绕过和未授权抓取,低
P0-11,P0,门禁,收敛新媒体专项发布门禁,已完成,"P0-06,P0-07,P0-09",QA,2,专项 CI gate,typecheck、专项测试、lint、build、docs、diff check 全绿,中：全仓既有失败
P1-01,P1,小红书交接,定义发布交接状态机,已完成,P0-06,产品/后端,2,draft_ready/handed_off/user_confirmed_published 模型,无官方回执时绝不写 published；所有转换有操作者和时间,低
P1-02,P1,内容资产,生成小红书媒体交付包,已完成,P1-01,后端,3,文案、封面、图片/视频清单、校验摘要 ZIP,文件命名稳定；缺失素材可诊断；不包含凭据或本地绝对路径,中：媒体规格变化
P1-03,P1,工作台,实现发布交接与复制导出 UI,已完成,P1-02,前端,3,交接预览、复制、导出、打开官方入口,用户可检查内容并明确点击交接；操作被审计,低
